ser: S+Er
serra: S+Er+Ra
inserir: In+S+Er+Ir
instante: In+S+Ta+N+Te
confundir: C+O+N+F+U+Nd+Ir
saco: S+Ac+O
espacial: Es+P+Ac+I+Al
fresco: F+Re+S+C+O
cubano: C+U+Ba+N+O
ho: H+O
imobiliário: I+Mo+B+I+Li+Ar+I+O
cineasta: C+I+Ne+As+Ta
seco: Se+C+O
render: Re+Nd+Er
prata: P+Ra+Ta
ausente: Au+Se+N+Te
representativo: Re+P+Re+Se+N+Ta+Ti+V+O
potencial: P+O+Te+N+C+I+Al
irlandês: Ir+La+Nd+Es
universal: U+N+I+V+Er+S+Al
inverno: In+V+Er+N+O
polaco: P+O+La+C+O
brincar: Br+In+C+Ar
tencionar: Te+N+C+I+O+N+Ar
potenciar: P+O+Te+N+C+I+Ar
raio: Ra+I+O
asiático: As+I+At+I+C+O
preservar: P+Re+S+Er+V+Ar
barraca: B+Ar+Ra+Ca
voo: V+O+O
helicóptero: He+Li+C+O+Pt+Er+O
custa: C+U+S+Ta
ruína: Ru+I+Na
superar: S+U+P+Er+Ar
carteira: C+Ar+Te+I+Ra
ténis: Te+N+I+S
contente: C+O+N+Te+N+Te
ganho: Ga+N+H+O
escrita: Es+Cr+I+Ta
cansar: Ca+N+S+Ar
incentivo: In+Ce+N+Ti+V+O
coluna: C+O+Lu+Na
revolucionário: Re+V+O+Lu+C+I+O+N+Ar+I+O
escalão: Es+Ca+La+O
operacional: O+P+Er+Ac+I+O+N+Al
fila: F+I+La
per: P+Er
cobrar: C+O+Br+Ar
típico: Ti+P+I+C+O
piscina: P+I+S+C+I+Na
Genebra: Ge+Ne+B+Ra
nu: N+U
Irão: I+Ra+O
precioso: P+Re+C+I+O+S+O
heroína: H+Er+O+I+Na
voar: V+O+Ar
inocente: In+O+Ce+N+Te
atmosfera: At+Mo+S+Fe+Ra
assassínio: As+S+As+Si+N+I+O
alcance: Al+Ca+N+Ce
passear: P+As+Se+Ar
fino: F+In+O
pano: Pa+N+O
capa: Ca+Pa
censura: Ce+N+S+U+Ra
supremo: S+U+P+Re+Mo
frota: Fr+O+Ta
bebé: Be+Be
calhar: C+Al+H+Ar
tio: Ti+O
íntimo: In+Ti+Mo
aliar: Al+I+Ar
proclamar: Pr+O+Cl+Am+Ar
preocupante: P+Re+O+C+U+Pa+N+Te
processar: Pr+O+C+Es+S+Ar
ofício: O+F+I+C+I+O
estacionar: Es+Ta+C+I+O+N+Ar
cérebro: Ce+Re+Br+O
inteligente: In+Te+Li+Ge+N+Te
primo: Pr+I+Mo
asser: As+S+Er
cambial: C+Am+B+I+Al
planta: P+La+N+Ta
barra: B+Ar+Ra
albanês: Al+Ba+N+Es
fatal: F+At+Al
passivo: P+As+Si+V+O
prisioneiro: Pr+I+Si+O+Ne+Ir+O
cercar: C+Er+C+Ar
fracasso: F+Ra+C+As+S+O
largar: La+Rg+Ar
indício: I+Nd+I+C+I+O
sétimo: Se+Ti+Mo
Funchal: F+U+N+C+H+Al
calmo: C+Al+Mo
Espinho: Es+P+In+H+O
planear: P+La+Ne+Ar
argentino: Ar+Ge+N+Ti+N+O
catálogo: C+At+Al+Og+O
pop: P+O+P
nervoso: N+Er+V+O+S+O
estatística: Es+Ta+Ti+S+Ti+Ca
réu: Re+U
nó: N+O
placa: P+La+Ca
vário: V+Ar+I+O
cheiro: C+He+Ir+O
conduta: C+O+Nd+U+Ta
genético: Ge+Ne+Ti+C+O
opa: O+Pa
ousar: O+U+S+Ar
prato: Pr+At+O
argelino: Ar+Ge+Li+N+O
horas: H+O+Ra+S
lavar: La+V+Ar
ponderar: P+O+Nd+Er+Ar
balcão: B+Al+Ca+O
caos: Ca+O+S
soar: S+O+Ar
tabaco: Ta+B+Ac+O
Faro: F+Ar+O
vôo: V+O+O
cívico: C+I+V+I+C+O
ovo: O+V+O
fumo: F+U+Mo
assassino: As+S+As+Si+N+O
respirar: Re+S+P+Ir+Ar
substancial: S+U+B+S+Ta+N+C+I+Al
chefiar: C+He+F+I+Ar
Argentina: Ar+Ge+N+Ti+Na
chocar: C+H+O+C+Ar
professora: Pr+O+F+Es+S+O+Ra
assente: As+Se+N+Te
estético: Es+Te+Ti+C+O
fato: F+At+O
gene: Ge+Ne
punir: P+U+N+Ir
génio: Ge+N+I+O
indiferente: I+Nd+I+Fe+Re+N+Te
amiga: Am+I+Ga
agressivo: Ag+Re+S+Si+V+O
pertencente: P+Er+Te+N+Ce+N+Te
gasolina: Ga+S+O+Li+Na
Para: Pa+Ra
windows: W+I+Nd+O+W+S
lindo: Li+Nd+O
inferno: In+F+Er+N+O
Kosovo: K+O+S+O+V+O
copo: C+O+P+O
ofensivo: O+Fe+N+Si+V+O
calar: C+Al+Ar
cessar: C+Es+S+Ar
ambicioso: Am+B+I+C+I+O+S+O
acréscimo: Ac+Re+S+C+I+Mo
ciclista: C+I+C+Li+S+Ta
assaltante: As+S+Al+Ta+N+Te
capacete: Ca+Pa+Ce+Te
casaco: C+As+Ac+O
oeste: O+Es+Te
assistente: As+Si+S+Te+N+Te
captar: Ca+Pt+Ar
generoso: Ge+N+Er+O+S+O
visual: V+I+S+U+Al
Vaticano: V+At+I+Ca+N+O
nam: N+Am
foco: F+O+C+O
camisola: C+Am+I+S+O+La
progressivo: Pr+Og+Re+S+Si+V+O
Bush: B+U+S+H
pó: P+O
Famalicão: F+Am+Al+I+Ca+O
artificial: Ar+Ti+F+I+C+I+Al
Costa: C+O+S+Ta
barão: Ba+Ra+O
Bona: B+O+Na
osso: O+S+S+O
poste: P+O+S+Te
sindicalista: Si+Nd+I+C+Al+I+S+Ta
cocaína: C+O+Ca+I+Na
associativo: As+S+O+C+I+At+I+V+O
síntese: Si+N+Te+Se
tenista: Te+N+I+S+Ta
oitavo: O+I+Ta+V+O
racismo: Ra+C+I+S+Mo
convívio: C+O+N+V+I+V+I+O
geográfico: Ge+Og+Ra+F+I+C+O
senso: Se+N+S+O
vício: V+I+C+I+O
bala: Ba+La
mosteiro: Mo+S+Te+Ir+O
índio: I+Nd+I+O
sobrar: S+O+Br+Ar
criativo: Cr+I+At+I+V+O
arco: Ar+C+O
principiar: Pr+In+C+I+P+I+Ar
protestante: Pr+O+Te+S+Ta+N+Te
tecer: Te+C+Er
barba: B+Ar+Ba
pneu: P+N+Eu
Bundesbank: B+U+Nd+Es+Ba+N+K
precário: P+Re+C+Ar+I+O
reinar: Re+In+Ar
ratificar: Ra+Ti+F+I+C+Ar
boicote: B+O+I+C+O+Te
cofre: C+O+F+Re
nipônico: N+I+P+O+N+I+C+O
catalão: Ca+Ta+La+O
Barreiro: B+Ar+Re+Ir+O
sono: S+O+N+O
seita: Se+I+Ta
centenário: Ce+N+Te+N+Ar+I+O
febre: Fe+B+Re
sereno: Se+Re+N+O
sal: S+Al
genérico: Ge+N+Er+I+C+O
lábio: La+B+I+O
esfera: Es+Fe+Ra
realista: Re+Al+I+S+Ta
tinta: Ti+N+Ta
parcela: P+Ar+Ce+La
incentivar: In+Ce+N+Ti+V+Ar
oficina: O+F+I+C+I+Na
renunciar: Re+N+U+N+C+I+Ar
checo: C+He+C+O
socialismo: S+O+C+I+Al+I+S+Mo
activista: Ac+Ti+V+I+S+Ta
crucial: C+Ru+C+I+Al
recair: Re+Ca+Ir
paraíso: Pa+Ra+I+S+O
cerco: C+Er+C+O
pânico: Pa+N+I+C+O
confuso: C+O+N+F+U+S+O
prisional: Pr+I+Si+O+N+Al
prestes: P+Re+S+Te+S
recuo: Re+C+U+O
parente: Pa+Re+N+Te
Cairo: Ca+Ir+O
lira: Li+Ra
fruta: F+Ru+Ta
rali: Ra+Li
feita: Fe+I+Ta
escocês: Es+C+O+C+Es
atrever: At+Re+V+Er
indiciar: I+Nd+I+C+I+Ar
bando: Ba+Nd+O
mobiliário: Mo+B+I+Li+Ar+I+O
clínica: C+Li+N+I+Ca
separatista: Se+P+Ar+At+I+S+Ta
bracarense: B+Ra+Ca+Re+N+Se
congênere: C+O+N+Ge+Ne+Re
arcebispo: Ar+Ce+B+I+S+P+O
Camões: C+Am+O+Es
Líbano: Li+Ba+N+O
batata: Ba+Ta+Ta
Atlântico: At+La+N+Ti+C+O
rasgar: Ra+Sg+Ar
fita: F+I+Ta
obstante: O+B+S+Ta+N+Te
cláusula: C+La+U+S+U+La
Atlanta: At+La+N+Ta
hino: H+In+O
chover: C+H+O+V+Er
cais: Ca+I+S
escravo: Es+C+Ra+V+O
albergar: Al+Be+Rg+Ar
funeral: F+U+N+Er+Al
cassete: C+As+Se+Te
Nato: N+At+O
Renamo: Re+N+Am+O
severo: Se+V+Er+O
provir: Pr+O+V+Ir
ampliar: Am+P+Li+Ar
clarificar: Cl+Ar+I+F+I+C+Ar
tela: Te+La
lixeira: Li+Xe+I+Ra
capitalismo: Ca+P+I+Ta+Li+S+Mo
alívio: Al+I+V+I+O
findar: F+I+Nd+Ar
natal: N+At+Al
recluso: Re+C+Lu+S+O
latino: La+Ti+N+O
espólio: Es+P+O+Li+O
Castela: C+As+Te+La
monopólio: Mo+N+O+P+O+Li+O
Carvalhas: C+Ar+V+Al+H+As
Alverca: Al+V+Er+Ca
cura: C+U+Ra
Ippar: I+P+P+Ar
Se: Se
paralisar: P+Ar+Al+I+S+Ar
pároco: P+Ar+O+C+O
ofender: O+Fe+Nd+Er
Pacheco: P+Ac+He+C+O
naval: Na+V+Al
flagrante: Fl+Ag+Ra+N+Te
vacina: V+Ac+I+Na
ocupante: O+C+U+Pa+N+Te
vocacionar: V+O+C+Ac+I+O+N+Ar
finalista: F+In+Al+I+S+Ta
consensual: C+O+N+Se+N+S+U+Al
seca: Se+Ca
tc: Tc
licenciar: Li+Ce+N+C+I+Ar
resumo: Re+S+U+Mo
hos: H+O+S
feio: Fe+I+O
Unesco: U+N+Es+C+O
criatura: Cr+I+At+U+Ra
camponês: C+Am+P+O+N+Es
câmbio: C+Am+B+I+O
aliviar: Al+I+V+I+Ar
órbita: O+Rb+I+Ta
atrativo: At+Ra+Ti+V+O
escrutínio: Es+C+Ru+Ti+N+I+O
gerente: Ge+Re+N+Te
tapar: Ta+P+Ar
bacalhau: B+Ac+Al+H+Au
faro: F+Ar+O
finlandês: F+In+La+Nd+Es
noticioso: N+O+Ti+C+I+O+S+O
ficheiro: F+I+C+He+Ir+O
nono: N+O+N+O
regata: Re+Ga+Ta
racista: Ra+C+I+S+Ta
show: S+H+O+W
nacionalismo: N+Ac+I+O+N+Al+I+S+Mo
povoar: P+O+V+O+Ar
tático: Ta+Ti+C+O
conviver: C+O+N+V+I+V+Er
pairar: Pa+Ir+Ar
estatístico: Es+Ta+Ti+S+Ti+C+O
inerente: I+Ne+Re+N+Te
pisar: P+I+S+Ar
cautela: C+Au+Te+La
punho: P+U+N+H+O
volante: V+O+La+N+Te
carecer: Ca+Re+C+Er
foy: F+O+Y
Bissau: B+I+S+S+Au
viário: V+I+Ar+I+O
vocal: V+O+C+Al
luso: Lu+S+O
contingente: C+O+N+Ti+N+Ge+N+Te
ca: Ca
ibérico: I+B+Er+I+C+O
perverso: P+Er+V+Er+S+O
inclinar: In+C+Li+N+Ar
lã: La
captura: Ca+Pt+U+Ra
basco: B+As+C+O
rubrica: Ru+Br+I+Ca
fiar: F+I+Ar
bravo: B+Ra+V+O
Berlusconi: B+Er+Lu+S+C+O+N+I
bárbaro: B+Ar+B+Ar+O
sincero: Si+N+C+Er+O
casino: C+As+In+O
aspirar: As+P+Ir+Ar
volver: V+O+Lv+Er
sé: Se
lusitano: Lu+Si+Ta+N+O
Coliseu: C+O+Li+S+Eu
sec: Se+C
circo: C+Ir+C+O
sismo: Si+S+Mo
pau: P+Au
violino: V+I+O+Li+N+O
sofisticar: S+O+F+I+S+Ti+C+Ar
tchetcheno: Tc+He+Tc+He+N+O
sobrinho: S+O+Br+In+H+O
fisco: F+I+S+C+O
botão: B+O+Ta+O
inverso: In+V+Er+S+O
cirúrgico: C+I+Ru+Rg+I+C+O
gênero: Ge+N+Er+O
pátio: P+At+I+O
valioso: V+Al+I+O+S+O
Balcãs: B+Al+C+As
assassinato: As+S+As+Si+N+At+O
cerebral: Ce+Re+Br+Al
nervo: N+Er+V+O
crônico: Cr+O+N+I+C+O
sopa: S+O+Pa
irônico: Ir+O+N+I+C+O
soberano: S+O+Be+Ra+N+O
accionar: Ac+C+I+O+N+Ar
nascente: N+As+Ce+N+Te
Rabin: Ra+B+In
incendiar: In+Ce+Nd+I+Ar
réplica: Re+P+Li+Ca
